date,precip,cloud cover,solar radiation,humidity,pressure,UV index,temp min,temp max,solar energy,PV output
2020-04-01,0.0,56.1,,71.5,1025.1,3.0,-1.1,8.3,9.8,4.3180000000000005
2020-04-02,0.0,85.5,117.4,78.7,1018.6,6.0,5.2,10.6,10.3,3.986
2020-04-03,0.12,71.4,129.4,79.1,1018.5,6.0,5.7,12.2,11.3,3.576
2020-04-04,0.0,47.1,209.8,79.0,1018.2,7.0,4.1,13.7,18.1,4.712
2020-04-05,0.0,56.3,214.2,69.4,1010.2,7.0,7.9,15.7,18.4,4.501
2020-04-06,0.966,48.6,177.5,78.6,1016.8,5.0,5.2,13.7,15.3,4.601
2020-04-07,0.014,46.7,185.8,66.9,1028.1,6.0,2.9,15.7,15.9,2.573
2020-04-08,0.0,66.6,167.2,63.1,1024.3,6.0,9.7,19.8,14.2,4.647
2020-04-09,0.0,10.5,208.3,65.7,1023.3,7.0,8.9,20.8,18.0,4.729
2020-04-10,0.0,62.1,211.2,61.7,1022.8,7.0,10.0,20.3,18.3,4.86
2020-04-11,0.0,39.9,203.2,60.0,1021.8,7.0,9.1,22.5,17.6,4.693
2020-04-12,0.0,36.2,191.8,69.6,1014.4,7.0,7.8,18.8,16.6,4.236
2020-04-13,0.0,44.5,195.8,66.1,1022.9,7.0,4.4,12.7,17.0,5.142
2020-04-14,0.0,10.2,,69.4,1028.1,7.0,-0.1,11.4,20.1,5.538
2020-04-15,0.0,13.1,233.1,63.3,1021.5,7.0,2.2,15.3,20.2,4.829
2020-04-16,0.0,40.1,205.1,62.8,1014.7,7.0,5.1,18.4,17.7,4.413
2020-04-17,7.086,86.1,33.9,87.2,1014.2,1.0,8.6,12.0,2.8,1.257
2020-04-18,2.123,95.6,62.5,92.1,1017.0,3.0,6.3,10.5,5.3,2.455
2020-04-19,0.0,63.3,204.1,77.2,1019.2,7.0,8.0,15.7,17.6,5.3100000000000005
2020-04-20,0.0,38.4,245.8,62.3,1016.0,7.0,5.0,16.8,21.2,5.541
2020-04-21,0.0,35.6,208.5,60.2,1015.2,7.0,7.0,17.8,18.1,5.197
2020-04-22,0.0,32.2,243.2,65.6,1018.6,7.0,6.2,19.5,21.0,5.489
2020-04-23,0.0,29.9,243.5,65.9,1019.1,7.0,6.7,20.1,21.0,5.498
2020-04-24,0.0,46.2,225.6,68.8,1015.3,7.0,7.7,20.1,19.4,4.787
2020-04-25,0.0,66.8,160.7,69.3,1013.8,6.0,8.1,16.5,13.8,5.106
2020-04-26,0.0,52.7,205.9,67.5,1012.1,6.0,6.3,16.2,17.9,5.323
2020-04-27,0.0,82.1,112.0,80.1,1007.7,3.0,7.2,13.8,9.8,3.672
2020-04-28,5.896,90.6,39.4,92.7,1003.7,1.0,6.9,11.3,3.3,1.297
2020-04-29,2.163,63.1,151.4,86.0,1000.2,6.0,4.7,12.5,12.9,3.615
2020-04-30,8.708,57.0,161.6,83.6,994.5,8.0,5.9,10.5,13.9,3.089
