cloud cover,solar radiation,humidity,pressure,UV index,temp min,temp max,solar energy,PV output,precip
0.72,0.06624,0.7734375,0.6725784447476126,0.2,0.21621621621621623,0.18456375838926176,0.06296296296296296,0.09860191317144959,0.0
0.41200000000000003,0.08951999999999999,0.669921875,0.7844474761255089,0.2,0.12612612612612611,0.19798657718120805,0.11851851851851851,0.15364238410596026,0.11332868530700317
0.598,0.11296,0.681640625,0.717598908594816,0.30000000000000004,0.2702702702702703,0.2785234899328859,0.11111111111111112,0.1490802060338484,0.0
0.262,0.11712,0.837890625,0.6221009549795351,0.30000000000000004,0.22072072072072074,0.23489932885906042,0.11111111111111112,0.14451802796173657,0.0916671885258238
0.8520000000000001,0.061759999999999995,0.85546875,0.6043656207366972,0.2,0.26126126126126126,0.32885906040268453,0.05925925925925925,0.09330389992641648,0.12575120530556033
0.8740000000000001,0.038400000000000004,0.83984375,0.45293315143246815,0.1,0.5495495495495496,0.3791946308724832,0.037037037037037035,0.06092715231788078,1.4678743481123135
0.867,0.06816,0.81640625,0.5197817189631646,0.1,0.4864864864864865,0.33221476510067116,0.055555555555555566,0.10272259013980868,0.19803085049913446
0.6779999999999999,0.06784,0.701171875,0.3560709413369718,0.2,0.43243243243243246,0.36577181208053694,0.06666666666666667,0.08712288447387785,1.501629959799795
0.441,0.08096,0.564453125,0.526603001364256,0.2,0.28828828828828834,0.2919463087248322,0.08148148148148147,0.12744665194996319,2.221591933784514
0.807,0.013120000000000003,0.83984375,0.5170532060027284,0.1,0.28378378378378377,0.38926174496644295,0.011111111111111113,0.0,2.036142523534684
0.406,0.06112000000000001,0.765625,0.4174624829467941,0.2,0.28828828828828834,0.19127516778523487,0.05925925925925925,0.032818248712288445,1.2181715237257489
0.809,0.030080000000000006,0.875,0.17462482946793934,0.1,0.2792792792792793,0.3053691275167785,0.02962962962962963,0.045916114790286976,2.196335293151335
0.617,0.09056,0.63671875,0.10504774897680669,0.2,0.41891891891891897,0.2483221476510067,0.08888888888888889,0.11199411331861663,2.187735251315104
0.603,0.0752,0.62109375,0.21418826739426855,0.2,0.4144144144144144,0.26174496644295303,0.07037037037037037,0.09006622516556291,2.2273226084934987
0.539,0.08511999999999999,0.671875,0.2687585266029995,0.2,0.3873873873873874,0.27181208053691275,0.08888888888888889,0.0590139808682855,2.209372711271867
0.7240000000000001,0.06848,0.783203125,0.3246930422919494,0.2,0.34684684684684686,0.27181208053691275,0.07037037037037037,0.043708609271523174,2.0476928433652555
0.67,0.044480000000000006,0.953125,0.35197817189631486,0.1,0.23423423423423426,0.23825503355704697,0.037037037037037035,0.01707137601177336,0.8633118070832684
0.679,0.02464,0.88671875,0.3833560709413373,0.1,0.23423423423423426,0.36577181208053694,0.022222222222222227,0.02693156732891832,2.6629830977329023
0.785,0.0,0.880859375,0.22510231923601687,0.0,0.5540540540540542,0.3724832214765101,0.0,0.03635025754231052,3.0656780242406576
0.7090000000000001,0.035199999999999995,0.912109375,0.07776261937244122,0.1,0.36936936936936937,0.2919463087248322,0.03333333333333334,0.056217807211184696,1.8408670433350829
0.632,0.05376,0.892578125,0.013642564802182733,0.2,0.44594594594594594,0.2919463087248322,0.05185185185185186,0.03988226637233259,2.4381643872358687
0.642,0.06816,0.8359375,0.16643929058662899,0.1,0.4504504504504505,0.2852348993288591,0.06666666666666667,0.07019867549668875,1.74361909390012
0.675,0.064,0.759765625,0.45293315143246815,0.1,0.4864864864864865,0.30201342281879195,0.05925925925925925,0.07637969094922738,1.37295579668071
0.755,0.0432,0.814453125,0.47612551159617844,0.2,0.472972972972973,0.3422818791946309,0.037037037037037035,0.081972038263429,1.4935780263395653
0.461,0.10783999999999999,0.79296875,0.6603001364256471,0.2,0.24324324324324326,0.2818791946308725,0.1037037037037037,0.13686534216335539,0.11332868530700317
0.876,0.01984,0.873046875,0.5375170532060025,0.1,0.4504504504504505,0.3422818791946309,0.014814814814814822,0.0897718910963944,2.4579635901735593
0.9390000000000001,0.029120000000000004,0.994140625,0.7271487039563436,0.1,0.5495495495495496,0.3523489932885906,0.022222222222222227,0.015011037527593816,2.726152036466192
0.899,0.019520000000000006,0.9375,0.8130968622100951,0.1,0.49549549549549554,0.3221476510067114,0.014814814814814822,0.0634289919058131,0.1914464645709552
0.937,0.07232,0.88671875,0.7844474761255089,0.2,0.43243243243243246,0.2852348993288591,0.07037037037037037,0.12921265636497423,0.0
0.87,0.10655999999999999,0.9453125,0.7462482946793987,0.2,0.33783783783783783,0.32550335570469796,0.10740740740740741,0.106401766004415,0.037295784743696894
0.9490000000000001,0.01696,0.880859375,0.7489768076398349,0.1,0.39639639639639646,0.23489932885906042,0.011111111111111113,0.015158204562178071,0.0
0.961,0.005760000000000001,0.951171875,0.7230559345156866,0.1,0.427927927927928,0.2651006711409396,0.003703703703703709,0.036938925680647536,0.4285303810391605
0.943,0.010879999999999997,0.84765625,0.601637107776261,0.0,0.45945945945945954,0.35570469798657717,0.007407407407407411,0.03855776306107432,0.3625576070968879
0.657,0.07776,0.78125,0.6630286493860851,0.2,0.3423423423423424,0.3523489932885906,0.07777777777777777,0.13686534216335539,1.0922588146959344
0.8140000000000001,0.06304,0.873046875,0.8294679399727158,0.1,0.36936936936936937,0.2550335570469799,0.05185185185185186,0.08241353936718175,0.30010459245033805
0.9490000000000001,0.038400000000000004,0.814453125,0.7953615279672572,0.2,0.43243243243243246,0.2516778523489933,0.02962962962962963,0.036938925680647536,0.2978798974282269
0.84,0.03232,0.798828125,0.6330150068212816,0.2,0.45945945945945954,0.3087248322147651,0.02962962962962963,0.006622516556291388,1.6092378924314334
0.905,0.021759999999999998,0.9375,0.6330150068212816,0.1,0.43243243243243246,0.3926174496644295,0.018518518518518517,0.051802796173657094,0.12044615307586716
0.872,0.033280000000000004,0.896484375,0.6207366984993179,0.1,0.5405405405405406,0.3825503355704698,0.02592592592592592,0.04032376747608535,0.7323678937132266
0.794,0.04383999999999999,0.845703125,0.42974079126875786,0.1,0.4144144144144144,0.3859060402684564,0.040740740740740744,0.042825607064017654,2.2566458610526006
0.677,0.10208,0.6796875,0.6739427012278298,0.30000000000000004,0.37387387387387394,0.2684563758389262,0.09999999999999999,0.14304635761589404,0.8895359945653354
0.9,0.026240000000000003,0.791015625,0.6575716234652091,0.1,0.5270270270270271,0.35570469798657717,0.022222222222222227,0.03944076526857983,0.11332868530700317
0.613,0.10016,0.7890625,0.5948158253751696,0.30000000000000004,0.43243243243243246,0.348993288590604,0.09629629629629628,0.10993377483443707,1.2143190963800803
0.633,0.033920000000000006,0.84765625,0.42701227830832167,0.1,0.4144144144144144,0.3154362416107383,0.037037037037037035,0.056806475349521705,2.0192933688435577
0.8059999999999999,0.033920000000000006,0.83984375,0.25648021828103573,0.1,0.45495495495495497,0.41275167785234895,0.02962962962962963,0.02560706401766004,2.1250122432222947
0.555,0.12864,0.728515625,0.43110504774897684,0.30000000000000004,0.44594594594594594,0.29530201342281875,0.12592592592592589,0.130242825607064,2.0719132752590443
0.746,0.01696,0.802734375,0.4815825375170526,0.1,0.49549549549549554,0.3791946308724832,0.014814814814814822,0.02178072111846946,2.0693912058263346
