date,precip,cloud cover,solar radiation,humidity,pressure,UV index,temp min,temp max,solar energy,PV output
2021-06-01,0.0,38.5,304.4,58.1,1013.3,8.0,11.7,22.1,26.1,5.493
2021-06-02,4.487,75.7,143.4,77.0,1011.2,5.0,13.6,18.9,12.3,4.443
2021-06-03,0.009,81.5,137.9,81.6,1018.9,5.0,10.1,16.7,12.0,5.634
2021-06-04,0.0,49.0,275.7,71.3,1023.7,9.0,7.1,17.9,23.9,6.798
2021-06-05,0.031,43.5,243.7,82.5,1025.2,9.0,7.3,17.5,21.0,6.061
2021-06-06,0.457,81.2,133.3,87.4,1024.6,4.0,12.9,18.4,11.4,5.0520000000000005
2021-06-07,0.136,70.0,223.6,82.9,1024.1,7.0,9.6,17.0,19.2,5.17
2021-06-08,0.0,43.5,319.7,76.8,1023.7,9.0,7.5,19.0,27.7,6.563000000000001
2021-06-09,0.015,61.2,194.5,86.6,1022.3,6.0,9.3,19.4,16.7,5.579
2021-06-10,0.622,85.2,154.4,91.6,1021.0,5.0,14.3,18.9,13.4,5.379
2021-06-11,0.139,87.2,130.9,89.2,1020.7,6.0,14.2,19.5,11.4,5.406
2021-06-12,0.039,48.4,287.6,78.9,1024.4,8.0,11.6,20.6,24.8,6.801
2021-06-13,0.0,23.2,308.5,72.0,1026.1,8.0,11.7,23.4,26.5,6.756
2021-06-14,0.0,51.9,300.8,75.6,1022.1,8.0,12.4,22.2,26.1,6.588
2021-06-15,0.0,50.5,306.7,70.7,1021.0,8.0,10.5,21.8,26.3,6.207
2021-06-16,0.0,62.9,282.8,75.7,1012.2,8.0,10.2,21.4,24.5,6.011
2021-06-17,1.766,75.3,206.7,77.7,1011.7,7.0,12.1,19.0,17.8,4.246
2021-06-18,0.318,87.5,64.8,75.8,1014.7,2.0,13.0,15.9,5.6,2.683
2021-06-19,0.068,91.8,56.6,87.7,1013.7,1.0,12.0,14.4,4.9,3.47
2021-06-20,10.777,89.3,62.2,95.0,1007.7,2.0,12.4,15.7,5.5,3.951
2021-06-21,4.438,91.6,71.8,87.6,1012.4,2.0,10.5,13.5,6.3,3.189
2021-06-22,0.787,71.5,207.4,71.1,1021.2,7.0,9.7,15.9,17.9,6.809
2021-06-23,0.0,29.2,295.8,71.6,1024.2,9.0,7.6,19.1,25.6,6.402
2021-06-24,0.217,83.3,188.2,82.8,1022.8,5.0,10.9,19.4,16.5,4.381
2021-06-25,1.808,84.1,192.7,82.1,1018.0,9.0,11.3,15.5,16.6,5.7940000000000005
2021-06-26,0.014,73.6,226.0,77.0,1016.7,7.0,10.0,17.6,19.4,5.638
2021-06-27,2.272,80.1,59.7,90.8,1014.5,2.0,12.5,17.3,5.2,3.457
2021-06-28,21.116,86.5,111.7,93.0,1014.1,5.0,13.4,18.5,9.5,4.257
2021-06-29,1.514,89.4,111.5,84.9,1015.9,4.0,13.4,17.3,9.5,4.695
2021-06-30,0.0,51.0,263.0,78.1,1017.3,8.0,11.3,22.2,22.7,4.881
