date,precip,cloud cover,solar radiation,humidity,pressure,UV index,temp min,temp max,solar energy,PV output
2021-02-01,0.95,97.7,21.4,97.5,996.3,1.0,1.7,6.7,1.9,0.93
2021-02-02,7.23,77.1,52.2,92.5,993.2,3.0,6.4,11.3,4.3,1.469
2021-02-03,0.83,64.2,51.0,88.3,997.1,2.0,5.1,8.4,4.4,1.139
2021-02-04,6.979,68.1,29.4,96.7,1005.9,2.0,3.7,8.7,2.5,0.793
2021-02-05,4.424,63.0,58.0,93.9,1007.4,4.0,1.9,8.1,5.0,1.136
2021-02-06,0.438,60.8,,89.3,1006.8,4.0,-0.2,7.4,4.8,0.857
2021-02-07,0.033,90.6,,79.5,1006.1,3.0,-0.1,3.4,4.1,1.962
2021-02-08,0.0,68.3,50.8,73.6,1004.4,2.0,-1.9,0.5,4.4,1.603
2021-02-09,0.051,82.4,,76.6,1004.9,1.0,-2.9,-0.1,2.5,1.572
2021-02-10,0.0,66.5,,75.0,1011.8,5.0,-3.7,2.3,7.8,1.628
2021-02-11,0.5,75.2,,74.5,1023.2,2.0,-3.9,1.3,3.5,0.878
2021-02-12,0.0,68.2,72.3,61.7,,3.0,-2.5,2.7,6.2,1.815
2021-02-13,0.091,82.0,,76.7,1027.0,1.0,-2.5,2.0,2.1,1.015
2021-02-14,8.216,94.4,22.6,94.0,1019.8,1.0,1.7,8.4,1.9,0.2789999999999999
2021-02-15,3.123,88.5,64.6,94.9,1016.1,3.0,7.3,10.5,5.5,1.966
2021-02-16,6.185,76.1,51.7,91.2,1008.8,3.0,6.8,10.4,4.5,0.763
2021-02-17,8.939,82.5,46.6,92.9,1007.1,3.0,7.7,9.9,4.0,0.643
2021-02-18,4.774,54.2,85.6,82.7,1002.5,4.0,3.9,8.8,7.4,1.647
2021-02-19,1.289,88.5,26.4,87.8,1005.1,1.0,4.9,11.5,2.3,0.349
2021-02-20,7.667,90.3,29.6,89.0,998.6,1.0,9.4,11.5,2.6,0.434
2021-02-21,2.613,85.0,41.4,93.1,1006.6,2.0,8.2,10.7,3.5,0.71
2021-02-22,4.609,65.2,99.5,88.6,1014.8,5.0,5.1,11.2,8.7,2.313
2021-02-23,0.104,86.6,106.7,85.2,1019.6,6.0,6.2,11.6,9.0,1.291
2021-02-24,0.358,90.8,67.8,86.6,1019.8,2.0,9.3,11.8,5.9,1.851
2021-02-25,0.386,51.7,92.1,85.5,1027.9,4.0,2.6,10.0,7.9,2.468
2021-02-26,0.096,34.0,,83.0,1038.0,5.0,-0.1,10.6,10.6,2.963
2021-02-27,0.116,38.9,125.6,83.9,1040.9,5.0,1.2,10.2,10.8,2.991
2021-02-28,0.051,23.0,132.4,79.1,1035.7,5.0,1.7,11.2,11.4,2.307
