date,precip,cloud cover,solar radiation,humidity,pressure,UV index,temp min,temp max,solar energy,PV output
2020-08-01,0.356,67.9,165.7,80.7,1016.5,5.0,13.6,18.5,14.3,5.404
2020-08-02,1.33,57.3,155.2,80.7,1017.8,5.0,12.0,18.4,13.3,5.266
2020-08-03,0.0,44.4,259.3,72.9,1017.7,8.0,10.6,18.8,22.3,5.992
2020-08-04,0.0,72.0,133.8,79.7,1016.7,5.0,8.8,18.6,11.7,5.816
2020-08-05,0.732,89.2,124.1,92.8,1012.0,3.0,15.7,18.2,10.6,4.587
2020-08-06,0.74,85.6,128.3,92.9,1016.1,5.0,15.8,20.4,11.1,4.465
2020-08-07,0.024,55.6,153.6,78.6,1018.0,7.0,12.9,24.9,13.1,5.068
2020-08-08,0.006,55.3,247.9,82.0,1019.8,7.0,15.1,26.2,21.3,5.039
2020-08-09,0.0,49.8,213.1,81.2,1018.2,7.0,15.2,22.9,18.5,5.488
2020-08-10,1.015,67.6,98.6,86.3,1014.5,3.0,16.9,22.4,8.5,4.387
2020-08-11,0.006,52.0,232.9,80.0,1014.4,7.0,15.3,28.2,20.1,4.139
2020-08-12,0.0,44.6,231.8,72.2,1012.4,7.0,18.0,29.7,20.1,4.11
2020-08-13,2.423,79.0,112.9,86.6,1012.2,5.0,18.3,24.1,9.9,4.186
2020-08-14,2.265,93.0,55.0,94.2,1014.1,3.0,17.3,19.5,4.9,1.665
2020-08-15,6.486,93.3,27.1,97.2,1014.5,1.0,16.4,17.3,2.5,2.548
2020-08-16,0.987,79.5,81.2,93.0,1010.7,3.0,13.3,18.6,7.0,3.312
2020-08-17,6.07,60.6,140.4,92.6,1008.0,7.0,12.3,19.4,12.0,3.834
2020-08-18,3.52,65.5,132.9,88.9,1008.3,6.0,14.3,21.0,11.4,5.072
2020-08-19,21.667,85.4,91.6,97.3,1000.1,5.0,15.7,19.1,7.9,2.216
2020-08-20,2.798,56.3,223.0,80.2,1000.6,7.0,13.2,19.8,19.2,5.281
2020-08-21,2.512,67.1,118.2,82.8,1001.1,6.0,15.3,18.4,10.2,4.631
2020-08-22,0.819,65.6,192.0,78.6,1012.4,8.0,13.6,18.4,16.5,4.923
2020-08-23,1.233,81.8,131.7,82.5,1018.1,7.0,13.5,16.9,11.6,4.269
2020-08-24,3.219,77.3,124.3,91.0,1015.5,6.0,13.3,19.3,10.8,3.382
2020-08-25,19.167,81.6,153.9,88.1,1001.4,7.0,14.5,18.6,13.3,4.023
2020-08-26,0.385,67.7,181.9,79.8,1014.3,7.0,12.5,17.9,15.7,4.179
2020-08-27,22.441,70.9,76.0,93.2,1010.8,5.0,10.8,16.1,6.5,3.247
2020-08-28,6.189,66.5,127.2,88.7,1002.3,6.0,11.9,17.5,11.2,3.059
2020-08-29,0.715,61.7,143.9,69.6,1011.5,6.0,9.6,16.0,12.4,5.086
2020-08-30,0.0,49.3,178.7,68.6,1019.1,5.0,9.2,16.0,15.3,5.067
2020-08-31,0.0,77.6,162.6,74.8,1021.5,7.0,8.9,16.7,14.0,4.927
