"AC Coupled",""
"Output Data (AC)",""
"Nominal AC Output Power","3000W"
"Max AC Apparent Power","3000VA"
"Max Output Current","15A"
"AC Nominal Voltage Range","202V - 262V"
"AC Grid Frequency Range","50Hz ± 5Hz"
"Power Factor At Rate Power","1"
"Power Factor","0.9 Leading...0.9 Lagging"
"THDI","<3%"
"AC Connection","Single Phase (multiple units can be installed for 3 Phase)"
