date,precip,cloud cover,solar radiation,humidity,pressure,UV index,temp min,temp max,solar energy,PV output
2020-01-01,0.535,96.1,9.0,96.4,1028.1,1.0,5.6,7.8,0.8,0.329
2020-01-02,0.437,94.3,10.6,91.1,1019.2,0.0,6.3,10.5,0.9,0.34
2020-01-03,1.981,65.7,31.5,87.7,1023.7,2.0,3.7,10.4,2.8,1.008
2020-01-04,0.35,81.4,26.9,92.4,1035.9,1.0,4.3,7.5,2.1,0.638
2020-01-05,0.347,94.9,19.2,89.4,1033.4,2.0,5.7,7.4,1.5,0.329
2020-01-06,3.999,84.0,17.3,88.6,1021.5,2.0,6.3,9.1,1.5,0.123
2020-01-07,0.128,90.5,14.0,95.7,1021.5,1.0,5.7,11.6,1.2,0.43
2020-01-08,1.08,87.2,17.6,93.6,1020.6,1.0,8.1,11.3,1.4,0.352
2020-01-09,8.551,79.4,20.9,91.0,1006.6,1.0,5.3,11.4,1.8,0.369
2020-01-10,1.434,67.7,39.1,82.5,1024.5,3.0,4.4,7.9,3.4,1.05
2020-01-11,0.12,90.0,15.4,88.2,1023.3,1.0,7.8,10.5,1.3,0.346
2020-01-12,2.368,61.3,38.5,88.1,1018.7,3.0,5.7,10.3,3.3,0.825
2020-01-13,6.533,63.3,17.8,91.1,1006.4,1.0,5.3,9.3,1.7,0.464
2020-01-14,7.373,80.6,17.8,90.7,993.9,1.0,6.2,12.2,1.5,0.252
2020-01-15,6.94,55.5,47.4,85.0,1006.7,3.0,6.0,8.7,4.1,0.963
2020-01-16,6.92,74.6,12.5,88.8,1010.4,1.0,7.1,11.2,1.1,0.226
2020-01-17,3.775,55.9,37.3,87.7,1013.2,3.0,3.4,8.8,3.1,0.549
2020-01-18,0.631,47.3,55.0,88.4,1029.3,3.0,0.0,6.4,4.7,1.111
2020-01-19,0.096,19.8,,84.7,1045.4,3.0,-1.9,6.8,5.4,1.211
2020-01-20,0.095,38.2,,77.3,1048.4,3.0,-0.9,7.6,5.3,1.355
2020-01-21,0.09,53.0,33.4,93.9,1042.5,2.0,-1.0,4.3,2.8,0.6
2020-01-22,0.272,94.0,14.8,97.8,1037.7,1.0,0.6,6.6,1.2,0.229
2020-01-23,0.185,99.4,9.3,95.9,1031.3,0.0,4.4,6.1,0.7,0.509
2020-01-24,0.143,98.0,14.6,96.2,1023.7,1.0,4.3,5.5,1.4,0.297
2020-01-25,0.168,96.8,8.7,96.0,1016.9,0.0,4.4,7.5,0.7,0.365
2020-01-26,5.437,74.0,18.5,95.4,1008.3,1.0,6.0,8.8,1.6,0.222
2020-01-27,5.884,67.0,20.2,90.9,999.0,1.0,3.8,7.2,1.9,0.47
2020-01-28,3.928,49.3,34.8,84.6,998.5,2.0,1.9,4.6,3.0,0.7909999999999999
2020-01-29,0.244,44.6,50.6,83.0,1010.3,2.0,3.0,9.1,4.3,1.4240000000000002
2020-01-30,1.485,94.9,27.3,96.5,1004.5,2.0,7.3,11.3,2.4,0.855
2020-01-31,0.534,87.6,29.3,96.8,1006.3,1.0,7.4,10.7,2.4,0.643
