date,precip,cloud cover,solar radiation,humidity,pressure,UV index,temp min,temp max,solar energy,PV output
2021-07-01,0.0,53.7,307.7,84.2,1018.2,8.0,13.4,19.8,26.5,5.622
2021-07-02,0.0,75.4,199.7,81.5,1016.3,7.0,12.2,20.2,17.2,5.813
2021-07-03,2.212,79.7,104.7,90.0,1011.3,4.0,13.7,18.8,9.0,5.003
2021-07-04,8.062,77.8,176.6,91.3,1006.7,6.0,13.5,16.7,15.2,3.993
2021-07-05,2.129,71.8,197.0,85.2,1003.9,8.0,11.4,16.7,17.1,4.15
2021-07-06,7.984,73.6,176.9,85.9,999.8,6.0,10.8,16.7,15.2,5.876
2021-07-07,14.073,77.6,129.9,90.3,1010.7,6.0,13.4,17.5,11.2,6.19
2021-07-08,1.296,81.8,182.5,86.0,1019.7,9.0,13.2,19.4,16.0,5.846
2021-07-09,0.525,71.8,153.9,84.6,1021.4,5.0,12.2,17.0,13.2,4.661
2021-07-10,2.625,80.1,147.5,89.1,1016.3,5.0,12.0,17.2,12.6,3.656
2021-07-11,7.289,83.1,72.0,95.2,1014.4,2.0,12.3,15.1,6.3,2.731
2021-07-12,11.512,81.4,173.5,89.0,1011.3,7.0,13.4,19.6,14.8,4.222
2021-07-13,0.338,62.8,240.9,81.9,1016.1,8.0,13.8,21.2,20.8,6.119
2021-07-14,0.0,41.4,273.4,77.8,1020.2,8.0,13.1,21.4,23.6,6.312
2021-07-15,0.0,27.7,300.1,77.2,1023.4,9.0,13.1,22.5,26.1,6.511
2021-07-16,0.0,36.5,291.3,75.1,1026.9,8.0,13.3,24.6,25.4,6.371
2021-07-17,0.0,34.3,273.1,71.7,1028.1,8.0,15.9,25.8,23.7,6.268
2021-07-18,0.0,12.8,291.1,68.3,1025.3,8.0,15.7,26.9,25.1,6.423
2021-07-19,0.0,9.8,282.0,64.5,1021.4,8.0,16.3,27.4,24.5,6.231
2021-07-20,0.0,9.2,273.1,64.4,1020.0,8.0,16.0,28.0,23.6,6.233
2021-07-21,0.0,11.9,285.6,65.3,1022.1,8.0,16.1,28.2,24.4,6.181
2021-07-22,0.0,40.2,248.7,68.1,1021.7,7.0,17.1,26.4,21.5,5.268
2021-07-23,0.0,44.9,260.8,68.0,1014.9,8.0,16.8,24.4,22.5,5.276
2021-07-24,4.291,83.2,65.6,91.1,1007.6,3.0,14.3,18.9,5.5,3.647
2021-07-25,5.378,81.4,112.9,85.2,1008.6,4.0,15.2,20.9,9.6,2.764
2021-07-26,0.051,48.0,236.5,83.0,1010.6,8.0,12.7,22.9,20.3,5.388
2021-07-27,5.744,76.6,161.8,88.5,1008.2,7.0,14.9,19.4,13.9,4.063
2021-07-28,3.802,63.7,181.9,81.4,1008.2,7.0,13.3,17.6,15.8,5.037
2021-07-29,0.674,67.0,162.6,78.6,1010.3,6.0,11.9,18.6,14.1,5.204
2021-07-30,7.214,79.5,143.0,89.2,1003.2,4.0,13.1,15.5,12.1,5.114
2021-07-31,3.507,77.9,117.8,86.9,1010.7,3.0,13.7,16.7,10.1,5.446
