date,precip,cloud cover,solar radiation,humidity,pressure,UV index,temp min,temp max,solar energy,PV output
2020-05-01,1.193,52.3,201.3,77.5,1000.8,7.0,7.5,12.5,17.4,5.628
2020-05-02,0.823,43.1,237.8,76.7,1011.4,8.0,5.0,14.3,20.2,5.846
2020-05-03,1.752,94.6,55.6,92.4,1015.1,2.0,7.0,11.5,4.9,1.414
2020-05-04,0.171,75.6,177.3,81.0,1017.5,7.0,9.4,15.3,15.3,3.259
2020-05-05,3.216,80.7,85.0,72.8,1018.1,3.0,7.6,12.8,7.3,3.22
2020-05-06,0.0,13.6,270.0,65.6,1024.0,8.0,4.6,15.9,23.3,6.069
2020-05-07,0.019,41.8,247.7,74.0,1021.8,8.0,6.3,19.2,21.2,5.7010000000000005
2020-05-08,0.0,54.0,231.3,64.1,1017.7,6.0,9.2,19.6,20.1,5.181
2020-05-09,0.0,52.5,265.8,64.8,1012.2,8.0,9.4,21.5,23.1,5.767
2020-05-10,0.014,69.0,154.8,75.8,1009.9,8.0,6.0,17.9,13.4,4.774
2020-05-11,0.0,45.9,221.0,58.9,1020.0,7.0,2.6,11.2,19.2,6.622
2020-05-12,0.0,23.1,289.2,63.0,1021.5,8.0,0.3,12.9,24.8,6.714
2020-05-13,0.0,41.1,199.8,64.4,1017.5,6.0,4.5,11.3,17.4,6.49
2020-05-14,0.0,11.8,291.3,60.4,1022.8,8.0,1.4,12.9,25.3,6.873
2020-05-15,0.0,14.7,282.2,67.0,1025.0,8.0,3.4,15.2,24.4,6.696
2020-05-16,0.0,62.9,260.1,68.3,1025.5,8.0,5.0,16.1,22.5,5.774
2020-05-17,0.0,62.1,230.1,76.9,1025.3,8.0,6.7,16.1,19.9,4.532
2020-05-18,0.0,60.4,275.8,75.5,1025.2,8.0,7.5,18.0,23.7,6.026
2020-05-19,0.049,70.0,225.9,82.2,1024.7,8.0,9.9,18.8,19.5,6.433
2020-05-20,0.024,52.8,275.7,69.9,1021.3,8.0,8.5,21.7,23.7,6.538
2020-05-21,0.287,57.5,282.9,70.7,1019.0,8.0,10.4,21.0,24.3,6.242
2020-05-22,0.205,67.8,219.3,68.2,1015.6,7.0,10.8,17.1,19.0,5.361
2020-05-23,1.853,50.9,241.8,70.6,1023.8,8.0,9.1,15.0,20.9,6.0840000000000005
2020-05-24,0.024,52.0,264.3,71.4,1032.2,8.0,9.7,17.3,22.7,6.375
2020-05-25,0.0,40.2,297.0,65.8,1035.1,8.0,6.4,21.0,25.6,6.7700000000000005
2020-05-26,0.0,42.2,287.3,64.2,1036.1,8.0,8.1,22.2,24.9,5.958
2020-05-27,0.0,30.6,289.7,70.5,1035.0,8.0,11.6,24.1,25.1,6.2780000000000005
2020-05-28,0.0,18.9,293.8,61.6,1032.1,8.0,12.0,21.5,25.3,6.529
2020-05-29,0.0,2.6,303.2,50.8,1026.0,8.0,9.9,22.1,26.5,6.787
2020-05-30,0.0,20.0,299.3,47.7,1021.7,8.0,9.3,22.8,26.1,6.75
2020-05-31,0.0,17.9,296.5,51.0,1020.6,8.0,11.7,23.5,25.7,6.73
