date,precip,cloud cover,solar radiation,humidity,pressure,UV index,temp min,temp max,solar energy,PV output
2020-11-01,1.692,88.4,29.0,91.0,1001.7,1.0,10.2,15.2,2.5,0.764
2020-11-02,3.073,52.4,66.4,82.2,1006.1,3.0,6.5,15.1,5.6,1.74
2020-11-03,8.521,52.8,66.8,86.8,1020.0,4.0,3.3,8.8,5.8,1.246
2020-11-04,0.399,21.7,83.7,87.4,1034.3,4.0,1.4,9.8,7.0,1.902
2020-11-05,0.177,41.0,83.7,89.2,1038.3,4.0,1.7,9.9,7.2,1.61
2020-11-06,0.185,39.9,74.5,87.7,1026.3,3.0,2.6,11.3,6.5,1.729
2020-11-07,0.0,77.5,25.4,93.7,1017.7,1.0,8.4,12.8,2.1,1.032
2020-11-08,1.153,88.3,42.3,96.0,1016.7,2.0,11.8,13.7,3.6,1.365
2020-11-09,4.461,85.1,61.5,96.1,1016.8,4.0,11.5,13.9,5.1,1.25
2020-11-10,3.003,74.4,36.4,93.4,1022.2,2.0,9.3,13.1,3.3,1.382
2020-11-11,0.208,77.9,18.3,91.8,1013.9,1.0,9.3,12.4,1.5,0.575
2020-11-12,6.696,66.3,57.1,84.6,1013.0,3.0,7.1,11.6,5.0,1.3
2020-11-13,2.735,73.3,53.4,85.5,1011.1,2.0,7.5,10.9,4.4,0.935
2020-11-14,15.653,82.7,18.9,93.7,1003.7,1.0,8.9,13.2,1.7,0.3419999999999999
2020-11-15,2.846,59.8,41.8,86.5,995.6,2.0,6.4,11.6,3.6,0.8150000000000001
2020-11-16,1.44,88.2,22.3,87.5,1013.4,1.0,8.4,12.5,1.9,0.458
2020-11-17,0.552,94.6,19.1,90.0,1020.1,1.0,11.0,12.5,1.8,0.626
2020-11-18,0.678,71.4,34.3,87.1,1016.2,1.0,7.2,13.0,2.9,0.521
2020-11-19,0.528,65.0,38.6,78.8,1029.4,2.0,2.9,9.0,3.4,1.149
2020-11-20,3.108,85.0,13.7,93.0,1033.2,1.0,2.8,9.7,1.2,0.378
2020-11-21,0.552,91.8,29.7,87.5,1027.3,2.0,8.7,10.7,2.6,0.468
2020-11-22,1.046,80.3,30.0,92.7,1027.2,2.0,5.1,10.1,2.6,0.7030000000000001
2020-11-23,0.245,75.8,42.9,93.5,1026.5,3.0,4.1,10.6,3.6,1.087
2020-11-24,0.28,79.4,44.1,90.3,1014.7,3.0,9.1,11.3,3.8,0.626
2020-11-25,5.039,65.8,29.1,90.8,1012.9,2.0,2.7,11.4,2.5,0.736
2020-11-26,0.26,49.5,51.2,92.3,1021.4,3.0,1.0,7.9,4.5,0.895
2020-11-27,2.739,82.4,32.8,92.7,1018.1,2.0,0.0,6.2,2.8,0.975
2020-11-28,5.213,91.0,10.5,96.6,1016.2,1.0,5.7,11.7,0.9,0.396
2020-11-29,0.12,93.7,13.6,95.6,1025.6,1.0,4.9,7.8,1.1,0.652
2020-11-30,0.178,85.1,14.4,94.2,1026.2,1.0,5.0,9.6,1.3,0.141
